,f,chi2,MATTE,NB,M3,HV,zscore,ENT
TSPAN6,4.992362774,0.001723692,0.069980498,,,,-1934.244119482586,-34.96609741421854
TNMD,0.908913703,0.000588804,0.0,-1.08e-34,,,0.0,0.0
DPM1,8.021888169,0.007442451,1.620603632,,,,2323.1733642814347,-36.27718030614639
SCYL3,13.48825909,0.021492717,0.511929921,,-1.05e-12,0.0,-8414.903001521921,-60.00084183469626
C1orf112,0.299421243,0.000171549,0.0,-7.71e-12,,,-76417.72868566118,-114.1002579984999
FGR,410.522857,0.420916306,2.258350157,,-5.25e-08,,4557.1499064861555,-25.939670598550634
CFH,18.17862475,0.009946967,0.03559685,-6.59e-07,,,-250853.4131940516,-161.12028741859157
FUCA2,35.60684411,0.058895422,0.213364765,-1.1e-28,,0.0,441.0886294571858,-46.46546454970663
GCLC,4.741589161,0.005013844,0.04482026,,,,-241812.88946870403,-142.73102621468905
NFYA,3.596673,0.002902666,0.077933319,-1.12e-13,,,-19964.19670766228,-78.8186681236542
STPG1,5.198882647,0.008941827,0.094386661,,,0.0,-3660.9583356083344,-48.960656057474445
NIPAL3,13.99706242,0.011283029,0.378914886,,,,1693.8522691127462,-53.05786281762002
LAS1L,7.031934891,0.005531031,1.202904258,-4.73e-12,,,-285409.93353966775,-158.73363689450665
ENPP4,24.80725628,0.026973784,0.154326097,,-0.009591769,,-1110.3907235292945,-37.13617821470404
CFTR,0.43344986,0.000123678,0.0,,,,8115.007822948799,-45.76126574902102
ANKIB1,4.903226186,0.004755673,0.624751815,,,,-54636.706802199915,-162.63518163756902
CYP51A1,1.002162408,0.000792435,0.0,,,,756.2160650013795,-38.4224207006774
KRIT1,2.506373606,0.002278723,0.355931264,,,,625.3010071405155,-47.124042473911025
RAD52,0.542953272,0.000304088,0.0,-7.67e-50,,,-3646.4478743747595,-32.790103586239304
BAD,5.67121045,0.006989144,0.224736781,,,0.0,-445.8597432863701,-50.095489845895386
LAP3,41.59166339,0.03662679,0.92677767,,,,-7011.15425862736,-60.14385546362764
CD99,624.9572879,0.961568511,1.649667272,,-1.56e-11,,28946.49709016082,-20.819045434575287
HS3ST1,11.93338737,0.023302387,0.418325964,,-0.000191122,0.0,465.27585947686885,-53.05422004442304
AOC1,1.137831848,0.000473589,0.0,,,,-16661.938973679855,-95.05697680712973
WNT16,12.03999063,0.005690336,0.0,,,,251.03961883269824,-18.949860898107154
HECW1,2.684919439,0.000660213,0.0,,,,-5258.671062642379,-30.042076492147864
MAD1L1,13.77468525,0.0084709,0.988252514,,,,-3365.4948101490954,-56.64854245404578
LASP1,32.8710527,0.028650246,0.702376319,,,,-8424.49293022671,-54.03275362566288
SNX11,7.200746929,0.005104164,0.324047972,-1.46e-65,,,-52992.684580967,-127.88316176915245
TMEM176A,81.8541609,0.047409341,0.077933468,,,,2843.662357328236,-25.928337884603856
M6PR,34.87683042,0.032550488,1.416147975,,,,6340.259266476681,-49.95400901767728
ICA1,2.340567805,0.002047145,0.018906517,,,,-17314.771410164158,-67.77858051800874
DBNDD1,12.88883799,0.012784693,0.107821481,-5.42e-06,,,-1373.699662070028,-23.974950739719176
ALS2,1.667964202,0.001150497,0.025886132,-1.7700000000000003e-21,,,-3100.842212607833,-34.47286755879785
CASP10,4.423541275,0.003408374,0.129859427,,,,-24988.15104174318,-108.08116685377696
CFLAR,27.44770882,0.029178092,1.912890629,,,,8627.66956920091,-58.948606999008085
TFPI,40.2837634,0.06386505,0.065817068,,,0.0,-20437.96686127591,-125.2674604513643
NDUFAF7,1.000112343,0.000893831,0.09953309,,,,750.1231712698761,-44.62957140794989
RBM5,17.19562313,0.01440354,0.573264734,,,,-31450.291889771866,-80.72904834970626
MTMR7,0.471960333,0.000508671,0.0,-4.31e-14,,,2190.698908254789,-7.992255089987325
SLC7A2,1.813925258,0.001443058,0.0,,,,-7278.139244541632,-24.595845810056375
ARF5,16.75919053,0.013074025,0.273257023,,,,6746.9628918120425,-46.41818522431002
SARM1,2.570675597,0.002600799,0.043760112,-1.37e-23,,,-4012.074956998033,-42.70254214555709
POLDIP2,4.317906074,0.002693829,0.411022105,,,,-4384.42597584927,-53.577494696710815
PLXND1,25.38607178,0.02302464,0.348772339,-7.87e-05,,,-27279.770512026676,-120.99747202596018
AK2,15.35018666,0.011664646,0.264656145,-1.58e-05,,,-8414.889671744813,-65.21996647221162
CD38,6.633444681,0.005901482,0.140615521,-4.16e-57,,,-7212.002267676535,-40.87296396781297
FKBP4,4.143350529,0.002676471,0.128493647,,,,4150.634313980003,-39.12833090241693
KDM1A,4.271112215,0.004195455,0.432157739,,,,-33219.135913019476,-97.04812049005011
RBM6,21.07041518,0.01591341,1.075960629,,,,-25865.35390304088,-76.8921376843575
CAMKK1,9.516527078,0.007940127,0.269312749,,,,-6652.946568736394,-53.815446262169964
RECQL,8.349560381,0.007149404,0.493517213,,,,7619.171294602556,-47.26800358596227
VPS50,2.523093872,0.001517009,0.047584564,-0.000172705,,,-17075.599303653602,-49.029342067577964
ARHGAP33,1.376505184,0.000702206,0.009950257,-1.76e-13,,,7300.240984871647,-40.336697981054726
NDUFAB1,19.32663846,0.012378748,1.691894882,,,,6062.181412427893,-37.14192782428941
PDK4,52.34640069,0.063725252,0.210445949,,,0.0,4905.533803016732,-34.48931063871142
SLC22A16,0.581260097,0.000451624,0.0,-1.38e-17,,,2629.2815643789295,-11.151773124230694
ZMYND10,0.82319782,0.000285435,0.0,-2.19e-11,,,2490.023517365716,-12.786845039433006
ABCB5,3.199241728,0.00159039,0.027417036,,,,3614.983116055583,-32.70169308817206
ARX,0.544934508,0.000500944,0.0,,,,-102.78241090321501,-1.9816545563088517
SLC25A13,3.573659394,0.003896903,0.047641667,-4.22e-08,,,-6703.215272189342,-65.80086669213924
ST7,10.22979329,0.017051759,0.0917032,-0.000241275,,0.0,759.9514617391019,-52.13902812101336
CDC27,2.903497211,0.00317845,0.059534837,,,,-7370.667795221053,-58.18081203106207
SLC4A1,10.81193667,0.016810706,0.134411521,,-0.003900963,0.0,-19197.146893890942,-73.37132284232939
CALCR,1.204334537,0.000370695,0.0,,,,633.3286261085076,-5.952500447978564
HCCS,3.572227856,0.00209059,0.049863739,,,,-15731.613050815038,-69.52556252594783
DVL2,7.433711944,0.004659885,0.065393728,,,,-172455.12281005795,-130.907268344215
PRSS22,2.016167721,0.000911538,0.0,,,,8980.990144802416,-5.085267933476638
UPF1,1.309789944,0.001458341,0.221076565,,,,-7617.326679718868,-57.94563334614731
SKAP2,31.15646843,0.094254979,0.320881543,,,0.0,9240.02012814274,-50.49125357042018
SLC25A5,16.76112515,0.01071135,0.201144239,,,,-650.033127541001,-55.901891086454654
CCDC109B,47.32511658,0.032375079,0.246044816,,,,-2884.7869514893487,-56.014269568829846
HOXA11,0.33840617,0.000177653,0.0,,,,-1242.6988352695682,-3.254350165401049
POLR2J,16.03750019,0.01367804,0.303024983,,,,5652.227877372476,-46.82276672714793
DHX33,2.089524855,0.002743568,0.376523203,,,0.0,-20506.606650031754,-92.20723712813034
MEOX1,1.803455907,0.000525439,0.0,,,,4271.261573568101,-4.123561443772902
LIG3,3.86330225,0.002847586,0.036132945,-7.870000000000001e-27,,,-41510.45145854927,-119.5966969921262
RPAP3,4.227243048,0.003353713,0.347684746,,,,-3196.3091249506656,-69.76026512366057
ACSM3,14.76474078,0.008373959,0.245380911,-0.006377865,,,-25453.820096002004,-77.3726657323059
AC004381.6,1.05302632,0.000351699,0.0,-0.009483224,,,-8596.247378193484,-66.14796267153245
CIAPIN1,5.007149989,0.004034965,0.055384821,-1.59e-06,,,-184.27147940697824,-39.93836623603144
SPPL2B,20.58661562,0.014265544,1.23275672,,,,-4159.479883156127,-44.32249366459464
FAM214B,71.79230272,0.062406654,0.87413487,,,,-75618.44124157392,-208.13632764844863
COPZ2,7.441553156,0.002801607,0.016977204,,,,5214.931052261582,-22.49254398205994
PRKAR2B,1011.769455,3.680195117,0.932224474,-4.6699999999999993e-23,-1.2599999999999999e-142,0.0,798.0750527974265,-9.853902970253312
MSL3,4.511018836,0.003574908,0.186818257,,,,-7142.595553087262,-59.85043444579597
CREBBP,10.54666337,0.01053085,0.586786836,,,,-15728.717111005615,-70.78763313969846
BZRAP1,9.257029609,0.010500197,0.147974685,-4.37e-18,,-0.001323803,-11065.933618853081,-59.10674208277037
MPO,5.514353626,0.00845526,0.055663195,-0.000204041,,0.0,-4841.648380333868,-12.275605254204738
PON1,1.143082315,0.000209155,0.0,,,,13684.936683053846,-17.838534628668754
GCFC2,2.107924547,0.002068901,0.10702168,,,,2088.810074676887,-31.03438559011086
WDR54,42.79440192,0.021402652,0.395129912,,,,-72851.0719607528,-155.81327270420786
CROT,12.65653188,0.007957296,0.080764975,,,,-2688.641027491137,-32.516102997511
ABCB4,83.40459624,0.052874986,0.606175853,,,,5302.951355123626,-40.153104377111724
KMT2E,44.77179025,0.05005381,0.606307998,,,,-2430.8753363931355,-56.89321086482706
RHBDD2,25.2577332,0.017866187,0.941903337,,,,-2409.799780484349,-49.94687242733783
SOX8,7.630105644,0.001654193,0.0,,,,-380.6401272300992,-0.7480743659165413
IBTK,3.788350489,0.003430166,0.679402178,,,,-7035.073223187117,-59.110115305020585
ZNF195,6.946244691,0.004831051,0.180710261,,,,-6406.419447985948,-45.00149365586518
MYCBP2,30.65747966,0.03174015,0.941652096,,,,-12313.792763103856,-55.31520317735144
FBXL3,5.262676111,0.005361083,0.648160055,,,,-18997.09763990029,-59.31653115067759
ITGAL,149.7060527,0.165434902,2.638542404,,-9.5e-08,,-13046.4859707824,-47.43138704713116
PDK2,1.703912198,0.001437214,0.043773127,,,,-5934.876866088334,-37.27681463123629
ITGA3,3.566154631,0.001743912,0.048443402,,,,-8704.197994675389,-31.837339399515756
ZFX,7.526089495,0.006025765,0.986312319,,,,-46905.9888694015,-142.5924325638578
LAMP2,59.72474816,0.051959329,0.92677767,,,,-8624.607490710763,-52.99999983348093
ITGA2B,786.1603997,3.386910806,0.480237994,-3.78e-213,-7.090000000000001e-105,0.0,-10836.995717209447,-34.858510604333745
ASB4,0.215319175,4.72e-05,0.0,,,,-10013.575273842527,-0.5363385796249958
GDE1,13.52162519,0.016331286,0.624857143,,,-5.67e-07,2385.556981772902,-52.0231683767692
C19orf60,17.34562325,0.010920007,0.116622764,,,,-24738.808639218754,-63.7105057920791
CRLF1,0.439538019,0.000393689,0.0,,,,-2887.2493726795583,-31.71764134966769
OSBPL7,21.99328442,0.018047076,0.172124056,-7.78e-10,,,-2437.8240279014526,-28.504620794350927
TMEM98,1.150287582,0.000537753,0.0,,,,-13433.70440084178,-68.56826405008185
YBX2,0.721096664,0.001114644,0.0,,,0.0,1548.6138750754099,-4.154503669171632
MAP3K14,4.246661607,0.004968132,0.39652654,,,-1.19e-07,-6089.108236860727,-47.024578792635914
ABCC8,1.323551837,0.000224781,0.0,,,,5522.635303114708,-12.834394198461368
CACNG3,0.444108421,0.00081887,0.0,,,0.0,-797.9347305885794,-1.8192887326685767
TMEM132A,0.586016509,0.000202404,0.0,,,,6074.505318211306,-13.489080307896245
AP2B1,3.064181033,0.004633299,0.32001324,,,0.0,-11373.588705923903,-52.27758590695449
ZNF263,4.95249103,0.002963266,0.341834598,,,,-1526.0427343164743,-29.60384393872276
CX3CL1,1.996688053,0.000911337,0.086150149,,,,-1207.0299796786126,-47.628688799838166
SPATA20,3.031200022,0.001721259,0.072787374,-3.2e-28,,,-3791.1886525021173,-30.320494122070798
CACNA1G,0.621257755,0.000405772,0.0,,,,6087.794391562054,-48.41784637875183
TNFRSF12A,28.0085884,0.028839596,0.056200914,,,,-1202.9219947026518,-20.154299087856348
MAP3K9,5.86730354,0.005455328,0.317059181,-2.02e-09,,,-1085.82841222877,-57.86049511417286
RALA,3.048212892,0.002573878,0.17820221,,,,-5515.6848996568715,-75.10887791062545
BAIAP2L1,1.801174696,0.001855715,0.009456209,,,,-25918.234510886636,-80.87696815624373
KDM7A,3.072811578,0.003010685,0.589760764,,,,-10842.564286700619,-51.958658565828365
AGK,4.40903524,0.004019124,0.1318564,-1.75e-83,,,-29350.62177554848,-88.70653917108196
ALDH3B1,53.80756081,0.043390302,1.160781756,,,,-259087.2554205635,-135.51463870213374
TTC22,3.875491853,0.003479207,0.026927461,,,,-537.9303215858732,-37.35101131694762
PHTF2,33.89508752,0.027073412,0.884255663,,,,-19751.820533602408,-69.74860086848999
FARP2,15.14002165,0.012171665,0.402490959,-1.01e-14,,,-2532.0368986439403,-38.00794951299773
USH1C,0.538944184,7.49e-05,0.0,,,,7379.636863113821,-8.83605561754859
GGCT,3.471609884,0.002219745,0.057050361,,,,-41331.62400372368,-112.43812007875238
DBF4,17.55342587,0.017922923,0.864689339,,,,-2216.90153356004,-52.38537065595298
TBXA2R,120.0048164,0.32854073,0.387148803,-1.18e-05,-5.34e-05,0.0,-7794.5025617973515,-40.9284428035394
IFRD1,24.14979255,0.026555493,0.384444514,,,,-7717.211091980639,-43.76772806218229
COX10,5.349929999,0.003358082,0.035646722,-9.21e-13,,,-3968.9336635755335,-43.00252028459089
GTF2IRD1,1.998380194,0.001265392,0.015383804,,,,-1755.867958635281,-43.68445972702819
PAF1,1.456902419,0.001223618,0.174571764,-0.006628211,,,-345.8564595027376,-54.71806156911612
VPS41,4.086756732,0.004121131,0.025676859,,,,2358.2137795698836,-51.36891237655836
ARHGAP44,4.930199661,0.0064156,0.181813647,-1.74e-06,,0.0,-34990.27634057195,-84.67535763644793
ELAC2,1.333664107,0.001314198,0.141375071,-1.86e-42,,,1683.9201004025867,-54.69894742793115
SCIN,1.995690029,0.002010703,0.074174481,,,,-7785.338144195725,-62.983030188630636
ARSD,22.37025778,0.01431439,0.148114932,,,,-6488.831689777895,-66.78136033564955
PNPLA4,4.784468694,0.001674699,0.066335025,,,,-130.04321833669127,-29.40317438585604
MYH13,1.146218264,0.001504427,0.0,,,0.0,459.79622168344423,-0.7340735843805313
ADIPOR2,15.84165352,0.015951372,0.188449736,,,,-8963.182587245547,-56.847035453018115
CDKL3,0.473379742,0.000560885,0.0,,,0.0,-10160.631533628051,-73.9299799887079
PRSS21,1.224214212,0.000928635,0.0,-1.33e-15,,,3686.692213169895,-39.09459278336997
MARK4,4.259628806,0.002269261,0.117267004,,,,-378.61349218799364,-56.719459054025904
PROM1,0.709418362,0.000148295,0.0,-1.02e-05,,,-1516.9669867089622,-4.600857857049126
CCDC124,10.69406418,0.006559603,0.376523203,,,,819.8724910598139,-38.09422754496361
CEACAM21,9.903186017,0.004885246,0.083025846,-4.72e-06,,,2899.4501346963116,-33.55500216359447
PAFAH1B1,16.48340456,0.014574623,0.700761518,,,,-41287.39412655167,-92.87384505142836
DNAH9,2.307226539,0.000714034,0.044351536,,,,-861.9647167524372,-32.6762684314283
KIAA0100,7.445189535,0.006658583,0.368119513,,,,-5774.402178391871,-55.015524245105084
GAS7,148.749711,0.178115019,1.225351147,,-3.58e-07,-3.04e-09,-27645.3875302661,-93.41129090199318
TRAPPC6A,11.61147139,0.007046212,0.349475134,,,,-2753.9195955543582,-40.69210420413798
MATK,175.6432938,0.10873284,0.420122772,,,,3515.596095179071,-34.74576051042091
CEACAM7,0.737988168,8.48e-05,0.0,,,,-1773.656251377389,-0.6113182614354589
CD79B,1335.969887,0.944703311,1.841287607,,-2.5600000000000003e-22,,26986.731606043333,-17.515729296858265
SCN4A,0.357157921,0.000109343,0.0,,,,-22544.080090488063,-71.06165437880111
ST7L,3.907851363,0.002692629,0.108757877,,,,-3675.298556123501,-49.32521298464093
TKTL1,10.1144307,0.014667446,0.065827825,-2.1e-132,,0.0,-2485.6395013089327,-27.41317514130316
PAX6,0.700185923,0.000614145,0.0,,,,-4539.030622716011,-42.07367894881888
RPUSD1,1.693369129,0.001121384,0.053401101,,,,-6852.526850016345,-46.58354234192036
RHBDF1,0.326694027,0.000352083,0.0,,,,-668.7237620877283,-0.4085961084610207
LUC7L,6.428889083,0.006321342,1.403376384,,,,555.3087972344488,-43.58532825481922
CACNA2D2,22.52027453,0.01660915,0.056918897,-2.21e-06,,,-12844.549014612254,-59.73062007159648
BAIAP3,2.015042294,0.002272973,0.033419147,-5.27e-40,,-0.001402704,-13040.967533899622,-54.29747675437678
TSR3,7.112606644,0.005343869,0.119377013,,,,1914.958762586677,-53.63414424333132
PIGQ,2.687986242,0.001504029,0.019969613,,,,-29187.33149470801,-83.81316678705207
CRAMP1,3.091565029,0.002728251,0.049233843,-0.000214647,,,-8266.630048916357,-71.98071270967482
TEAD3,0.375704998,0.000212649,0.0,,,,3392.057133096322,-4.877773486011236
DNAJC11,2.736708081,0.001972794,0.057779904,-2.86e-16,,,-70773.91446693057,-180.10266722500398
FMO3,0.323158238,0.000345542,0.0,,,,-1695.767181133389,-31.51233119842473
MYLIP,33.66312612,0.026987631,0.614103532,,,,-678.0156841704869,-47.99130643247575
E2F2,16.46280649,0.013273912,0.052801064,-1.53e-05,,,3695.468765991577,-33.456833266342294
PSMB1,31.7220824,0.020246308,1.157009637,,,,-2404.8457800268307,-45.280732184762186
SYN1,5.736437488,0.001880993,0.0,,,,3192.010448606415,-23.309094447740197
JARID2,119.3362325,0.165445824,0.3153521,,-7.01e-14,0.0,-8701.046597011853,-57.14112095531767
CDKL5,5.380987985,0.003216033,0.156143639,,,,-39043.29491995202,-120.1406080918643
CDK11A,26.03394824,0.019150768,1.171987853,,,,-2922.8792857703947,-53.00987574249824
NADK,63.26139771,0.055248029,0.61976385,,,,13973.0398246617,-44.003694425349714
DLEC1,1.678221723,0.000927406,0.052111502,,,,-19151.904979690524,-61.95469249665698
CYTH3,3.090045166,0.001738337,0.057284251,-0.001106732,,,-16635.9728437941,-80.19459930098175
ADAM22,2.789163071,0.002127315,0.0,,,,-1485.1351568720443,-36.02969045599308
SYPL1,150.9018054,0.089265764,2.259209949,,,,-42495.23126440571,-114.66951730225315
CYB561,9.670182993,0.01052044,0.164977109,,,,3025.804496555621,-55.858670223217125
SPAG9,47.36913079,0.070632851,1.35313785,,-4.83e-31,0.0,-33474.358482631105,-71.88678868935175
CELSR3,1.0635491,0.000432214,0.0,-6.02e-54,,,-6078.179124736749,-11.800008983277035
AASS,2.046904608,0.001071204,0.0,-2.35e-09,,,1983.3575963948385,-29.970340025747003
PLEKHG6,1.646253385,0.000682646,0.0,,,,-2861.3815494391542,-25.783573849294623
SS18L2,16.15781241,0.012415366,0.923287392,,,,-7658.127992223155,-47.348005648070554
MPND,3.527287806,0.003172787,0.052638649,,,,1614.8611236121335,-28.80967313925457
MGST1,196.0820314,0.152878967,0.208832668,,,,-65423.72708958639,-128.74580651679997
CRY1,14.67379557,0.010327568,0.165918553,-5.45e-05,,,-1829.3908318125,-32.77128377923975
PGLYRP1,0.502863033,0.000122713,0.0,,,,1431.3106025009322,-2.0019490525526455
NFIX,9.197357825,0.008337164,0.054819603,,,,5620.992459069199,-22.524915441822152
ST3GAL1,12.2315231,0.012796042,0.430521767,,,,-140.27423780402341,-52.71804679418611
MMP25,5.569654056,0.004131159,0.036209398,,,,2062.8950239484006,-37.69914631543832
IL32,1367.155181,1.194135059,1.923682326,,-3.0599999999999998e-214,,-9800.24380275587,-31.96617363194636
PKD1,1.513249946,0.001138408,0.128071911,,,,-4582.101880738366,-62.92670085504403
MAPK8IP2,0.693352062,0.000285155,0.0,,,,-17315.097513123335,-48.74547825950128
MED24,0.909053862,0.000856024,0.138063025,-5.24e-12,,,1507.1178488709525,-58.193868443975305
RHOBTB2,13.72696617,0.008766654,0.235430654,-0.008109432,,,-379.6078064889739,-29.786737734635953
HEATR5B,1.990081281,0.002271794,0.152596444,-6.16e-21,,-0.019702938,-25442.43681251669,-79.12290675207582
SEC62,37.99767295,0.030513859,0.852154978,,,,7259.2423433742815,-46.342699158782295
RPS20,572.7359401,0.638442217,1.120046329,,,,-8469.539336134516,-4.625088769920039
CSDE1,15.36176954,0.014567655,0.505172211,,,,-9188.101390104704,-56.34234541455883
UBE3C,5.252465737,0.004517521,0.676189301,,,,-4792.661681177342,-62.30897214659625
REV3L,5.228404607,0.005650417,0.97720349,,,,-17900.585609458743,-115.23296073800206
TENM1,8.365580497,0.00641086,0.035836389,-3.82e-99,,,-9468.630403665842,-33.55415491229191
MASP2,3.104871365,0.001132609,0.0,-3.73e-05,,,-3829.9852059537693,-46.18990733646959
IYD,1.50966205,0.000790632,0.015383804,,,,-1633.2537305127382,-46.19332344222699
FAM76A,8.30424687,0.006014332,1.280984982,,,,2066.0383411035573,-42.56617231726488
TRAF3IP3,73.43138384,0.051764171,1.651561933,,,,2487.6833713068827,-50.572541454053585
POMT2,1.137991229,0.000922093,0.024840013,-1.33e-11,,,-12167.487091616053,-55.252266812140206
VTA1,3.833897888,0.003518376,0.355351091,-1.72e-05,,,-9638.406164766053,-47.3115135839838
MLXIPL,5.145809513,0.006300829,0.092212246,,,0.0,-8128.031636044091,-43.45014942382903
BAZ1B,5.275398468,0.0050275,0.986312319,,,,-83980.64678683647,-195.90204955600618
RANBP9,4.740716483,0.005087293,0.413254942,,,,-7689.967960966339,-42.40151920703285
ETV7,1.135776948,0.000742421,0.0,-5.86e-06,,,2017.5551727196905,-35.08621957240007
SPRTN,6.480127272,0.005068433,0.316783065,,,,-6154.644732310407,-47.52021310759986
METTL13,4.73789375,0.002785639,0.042718798,-4.93e-13,,,-5195.506278398512,-28.18761996520283
DYRK4,2.00677137,0.001474019,0.015383804,-0.001054847,,,5859.363496880765,-42.742205045717434
ZNF207,13.62440564,0.01193259,0.24584698,,,,4389.571924660309,-53.53729707207702
UQCRC1,48.11176167,0.03270967,0.910233196,,,,-1099.1035997889921,-40.358407349535085
STARD3NL,6.680878989,0.006732673,0.240858877,,,,-3564.6360033800124,-54.46982311389233
CD9,524.6079115,2.790731888,0.623076639,-8.65e-15,-2.05e-66,0.0,19696.25691062156,-13.988818944660357
NCAPD2,1.798583201,0.001790563,0.097012458,-2.39e-06,,,1194.7746058720134,-40.743086865917725
IFFO1,4.609647564,0.002575424,0.06192206,,,,-2576.238016331857,-39.108556729021785
GIPR,9.207228396,0.005232604,0.339010883,,,,3697.5789610068923,-44.85768277568002
PHF7,2.852935364,0.002754848,0.065576318,,,,-1429.592577571867,-40.96800675932588
SEMA3G,1.388096813,0.000585228,0.0,,,,904.0412177032666,-1.0109644201851382
NISCH,9.078719672,0.005569786,0.341891273,-0.001363071,,,-37696.85279883216,-70.07782232742815
STAB1,118.7788848,0.12509704,0.137089639,-7.07e-12,,,-47716.9554074709,-49.30837846318638
FUZ,1.307239153,0.001260835,0.044706383,,,,-3815.851383943995,-41.32017489920206
IDS,28.27322132,0.032077261,0.177763256,,,,-3121.124713487404,-53.89109905188883
PRSS3,0.533483653,8.49e-05,0.0,,,,788.8325197282034,-9.5741128060201
ZNF200,10.09241027,0.006857033,0.647510832,,,,-23686.031727986236,-85.53109339923358
CD4,168.7358858,0.195890577,1.237201335,,-6.03e-05,,-24429.819673966886,-75.49905894053678
LRRC23,4.242251366,0.007788384,0.09164794,,,0.0,9600.360871653924,-43.53271823648939
BTK,65.78527941,0.112181115,1.244898042,,,0.0,-8630.963707626706,-48.214630377754474
HFE,6.57350729,0.003541136,0.311687047,,,,3466.0953382930725,-49.673076754520096
SCMH1,6.44235755,0.005093778,0.107959879,-8.54e-31,,,-670.9846561720574,-23.14102721529363
FYN,145.1536067,0.179540843,1.615979383,,,,-3449.348021919685,-52.30676124231577
HIVEP2,9.948202628,0.010008983,0.625486649,-1.7e-46,,,-4749.45461902893,-35.05777147026014
FMO1,0.749463136,0.000417993,0.0,,,,-28613.945092247894,-84.02860844305656
TCEB3,3.999950362,0.003248889,0.840611592,-0.002268358,,,-37190.64521975738,-98.95770155326491
LYPLA2,4.801930097,0.004017277,0.426612087,,,,5396.913550570274,-52.666272089870255
CLCN6,5.69549693,0.005238432,0.385326751,-0.000188171,,,-846.9432075202285,-45.43325015442517
MRC2,4.35042876,0.002378442,0.0,,,,2492.9405932659456,-11.433626659292843
SLC6A7,1.546964977,0.000499182,0.0,,,,-894.1945768099316,-0.9636217226147294
TSPAN9,86.4096171,0.336858697,0.505163081,,-2.7e-09,0.0,-3081.590441265325,-28.01159237198788
BTBD7,1.4626829,0.001247515,0.010031628,,,,-4377.380947989233,-52.28635238856423
APBA3,3.959972416,0.002576589,0.303511971,,,,1738.0190317265997,-40.60298032548176
MKS1,1.757763009,0.000912739,0.0,-1.07e-16,,,2216.2426896740853,-28.662424685566045
ABHD5,8.767889752,0.010403431,0.114898944,,,0.0,2025.1905332333668,-38.99200723813322
AKAP8L,8.049375541,0.006782074,0.873647427,,,,7941.963916888251,-53.76651063446196
MBTD1,2.287931484,0.001975773,0.133159755,,,,-3531.468872633385,-47.528673723098784
UTP18,9.654221152,0.006616092,1.257299947,,,,-153363.53511042322,-109.57872329973668
RNF216,11.11116629,0.010871809,0.503340852,,,,-876.358877865699,-52.66553377110715
TTC19,20.28129618,0.012736478,0.827805717,,,,-9205.120726139565,-49.08133992874583
PTBP1,2.539222885,0.002720482,0.057087927,,,,7113.19673073462,-49.99577687513181
DPF1,0.917084967,0.000475312,0.0,,,,-11368.446223565044,-84.05542070661508
SYT7,0.229831057,7.38e-05,0.0,,,,2284.1375737818657,-6.423328871275556
LARS2,2.51589776,0.001706157,0.075561382,-6.969999999999999e-23,,,421.9719583365836,-36.94886424512032
PIK3C2A,6.730661842,0.006016183,1.083363144,,,,-4058.2668621232997,-65.38668756176955
PLAUR,468.8048858,0.625273009,1.073717189,,-3.49e-36,0.0,-11599.608249572158,-48.447014968659154
ANLN,0.382352248,0.000301274,0.0,-2.35e-11,,,-24934.252823466373,-59.751938638359796
WIZ,2.08836791,0.002506344,0.067516433,,,0.0,-13601.727489719451,-76.12493647476184
RABGAP1,4.131285054,0.003684099,0.323098883,,,,-44189.590091554724,-119.20580939750499
QPCTL,4.43724954,0.001784849,0.060754142,,,,-35276.40778018181,-49.500146785834374
PPP5C,10.55048834,0.008721794,0.209286746,,,,-16437.59823796397,-79.95109969301664
CEP68,2.017813574,0.002548191,0.140435746,,,0.0,-8216.182417195349,-60.05317069297115
MAP4K3,9.160707321,0.008651251,1.416834086,,-7.81e-20,,-3983.181790822179,-56.53973519757761
ZBTB32,34.43709693,0.01471685,0.080852513,-0.000824201,,,2519.2266923934476,-25.047767581881207
TYROBP,2643.219437,3.651394323,3.151845539,,0.0,,-11107.29142449524,22.220350148537385
TMEM159,11.28314669,0.016787221,0.111959317,-0.001544274,,0.0,2221.5989929699927,-42.66061137916052
BRCA1,1.284824556,0.001313817,0.133683839,,,,-10058.331022317934,-53.86123215255501
ERCC1,5.377571115,0.004624667,0.226184366,,,,-13011.940265515996,-48.61300441591645
CD22,451.5272807,0.38242585,1.181195682,,,,-23867.858641871237,-105.68298888908647
SEMA3B,7.197638577,0.006254916,0.072680306,,,,-3720.0976876667496,-56.25538448316036
MBTPS2,7.013484642,0.003177562,0.075221126,-4.69e-09,,,6940.75427192443,-41.92489096143947
PRICKLE3,2.333744346,0.001534125,0.018906517,-0.003792709,,,-6471.347826059158,-57.47490313809534
EXTL3,3.476033226,0.003004116,0.040080218,-3.55e-12,,,-32439.130009021414,-85.22867698217365
ELOVL5,13.78139345,0.012427368,0.358743945,,,,1196.6303491601884,-49.11771641096223
ALOX5,90.88878558,0.087923316,2.393906215,-1.19e-06,,,2260.677176033349,-41.35957252259109
KDM5D,4.962312252,0.004268776,0.478652357,-1.31e-14,,,-949.2904207139098,-56.37542463797202
CALCOCO1,12.51540492,0.011397531,0.362480373,,,,4457.852649931178,-51.21656834608575
UBR7,1.483234157,0.001300155,0.040060347,-2.85e-07,,,-4929.23307348316,-53.089626586618365
MAP4K5,13.05832726,0.010340629,0.337730452,,,,-1536.3334446345468,-45.607707195932065
