,f,chi2,MATTE,NB,M3,HV,zscore,ENT
CMC2,11.62236783,0.010429855,0.593631947,,,,-15009.936164558292,-59.24857821580543
AXIN1,11.2889621,0.009828132,0.100382856,-0.001188817,,,-2665.026358050676,-43.34437528286751
HCFC1R1,3.789888556,0.003073222,0.067506919,,,,-514.1597740536653,-54.38589925591474
NPRL3,15.18070786,0.027810524,0.280903311,,,0.0,2040.5692516969034,-36.19403666664335
MLYCD,3.679788967,0.001911443,0.07117661,,,,-155534.17944028392,-248.36891017952706
MPG,3.922280627,0.002529789,0.022326187,,,,-1136.2237266708403,-52.49951041159597
HSDL1,12.99684281,0.020553968,0.182206405,-0.004470877,,0.0,3607.160539752052,-57.96072915149539
TAF1C,2.180635016,0.001805805,0.048919273,-1.19e-05,,,-1549.3506804508934,-56.71699800984395
NAGPA,6.528377959,0.004790245,0.657381285,,,,-17273.567100397657,-57.15413602373468
WFDC1,7.500776025,0.002589269,0.065994769,,,,-2192.865170240618,-29.33462904237306
SEC14L5,42.68026579,0.07469338,0.065817068,-3.82e-09,,0.0,-18574.141315178727,-70.62952588385994
COTL1,1603.116731,2.594466614,4.185766047,,-5.86e-232,,22369.36228741814,25.810955281328823
USP10,7.969678467,0.007517609,1.373318004,,,,-6969.44022324845,-61.37923090040027
CRISPLD2,70.25359305,0.051959793,0.156812394,,,,-60603.12978139549,-115.4646720284968
TSC2,1.25123163,0.000997062,0.0,,,,-5479.156664174471,-52.69860705830309
ZNF500,2.961055941,0.0025717,0.142008583,,,,7406.538738930692,-52.62752671040313
NME4,63.1774353,0.10411321,0.634480661,,,0.0,7769.101944392631,-52.87095990773063
ABCC1,0.637527934,0.000697664,0.043580089,-3.81e-09,,,-6202.176892179596,-67.97572551349202
NOMO3,3.248261498,0.00232903,0.03076821,-0.000751653,,,-230624.31826729735,-137.9565169109897
LMF1,3.596199487,0.002542291,0.046374086,-1.06e-46,,,-2091.1958526272374,-53.00530162237399
NARFL,4.941276556,0.00292251,0.305601002,,,,-1274.9621404014122,-66.05788621977938
MTHFSD,1.299647517,0.000849698,0.046464495,-2.85e-05,,,-1742.0200792066285,-40.85582584266685
CLCN7,18.06191237,0.021132418,0.482597426,,,-3.44e-06,-52445.383390326635,-138.30164239250058
HAGHL,11.62074534,0.006836935,0.162122879,,,,-397.8169280754298,-34.79094295352219
FAM173A,7.040227146,0.003488235,0.579138475,,,,-34617.52372991235,-108.65431922069595
SLC7A5,9.288892868,0.010676328,0.197098301,,,-0.011725936,-6445.52003916882,-61.26168836391293
METRN,14.71964283,0.006798646,0.103254165,,,,4262.37881329992,-37.538260069607965
FBXO31,6.171483592,0.003240346,0.050803885,-9.39e-23,,,-5702.0716490209,-64.72099509940607
STUB1,8.174885607,0.005611793,0.0,,,,963.7048536233567,-47.649945513843775
RHBDL1,8.359745403,0.002062229,0.0,,,,-1014.5838897712426,-3.488232263012132
NUBP1,9.73414346,0.007599435,1.293849495,,,,-72004.51378825225,-126.95270468999917
UBE2I,15.10682408,0.013797468,0.835499247,,,,-1441.3220793884188,-49.45620716807949
MEFV,63.06617892,0.065207893,0.23687025,,,,1168.183329134462,-49.13617503954592
CRYM,3.817751666,0.006647097,0.018906517,,,0.0,-12521.112326031207,-43.35474460996909
EEF2K,1.279723256,0.001420714,0.060090789,-1.58e-07,,,-13185.718412585702,-46.60004147089148
CAPN15,8.830494679,0.008432048,0.361227216,,,,-19264.03748624503,-77.17378681103567
